,Object Number,Is Highlight,Is Public Domain,Object ID,Object Name,Medium,Department,Culture,Object Begin Date,Object End Date,Artist Nationality,Artist_Nationality_new
100,41.101.2(6),False,False,371229,Print,Engraving and etching; second state of three,Drawings and Prints,,1650,1650,Dutch|Dutch|Dutch,British
101,52.519.33.2,False,False,377953,Book,Printed book with engraved illustrations,Drawings and Prints,,1743,1743,French|French|French|French|French,Dutch
103,23.112.838,False,True,378914,Drawing,"Pen and black ink, watercolor and gouache",Drawings and Prints,,1875,1875,American,Netherlandish
104,61.669.18,False,True,386510,Drawing ; Ornament and architecture,Watercolor with gold,Drawings and Prints,,1800,1899,British,American
105,29.107.14,False,True,391909,Print,Etching and drypoint; second of two states,Drawings and Prints,,1643,1653,Dutch,American
106,2011.214.1–.9,False,False,396269,Print,"Etching, aquatint and drypoint; states 1-8",Drawings and Prints,,1957,1957,American,Italian
107,2011.305,False,True,397577,Print,Engraving from a circular plate,Drawings and Prints,,1535,1611,Netherlandish|German,
108,43.47.258,False,False,399078,Print,Lithograph,Drawings and Prints,,1935,1943,American,Italian
109,43.47.344,False,False,399085,Print,Silkscreen,Drawings and Prints,,1935,1943,American,French
110,51.501.4223,False,False,399877,Print,Etching,Drawings and Prints,,1600,1650,Italian|Italian,American
111,63.350.222.284.91,False,True,400013,Baseball card,Commercial color lithography reproducing drawings,Drawings and Prints,,1887,1887,,
112,2012.136.939,False,True,400018,Print,Etching,Drawings and Prints,,1581,1581,Italian|Italian,French
113,91.1.74,False,True,404850,Print,Etching and engraving; third state of three,Drawings and Prints,,1758,1758,French|British,German
114,63.350.201.28.20,False,True,410156,Print,Commercial color lithograph,Drawings and Prints,,1887,1887,American|American,French
115,"Burdick 325, R327.130",False,False,410683,Baseball card,Commercial color lithograph,Drawings and Prints,,1935,1935,,American
116,51.501.4016,False,False,415848,Print,Engraving; first state of two (Lieure),Drawings and Prints,,1614,1620,French|Italian,French
117,59.644.71,False,False,417951,Print,Engraving,Drawings and Prints,,1548,1548,German,American
118,17.50.17-371(236),False,False,419823,Print,Etching; second state of two (Lieure),Drawings and Prints,,1636,1636,French|French,French
119,31.108.4,False,False,428594,Print,Etching,Drawings and Prints,,1900,1931,American,
120,24.63.1280,False,True,428786,Print,Engraving,Drawings and Prints,,1810,1820,French,
121,"Burdick 314, E42.2",False,False,430474,Print,Commercial color lithograph,Drawings and Prints,,1910,1910,American,
122,51.553.2(13),False,False,431102,Print,"Lithography, hand-colored",Drawings and Prints,,1840,1840,French,
123,63.350.246.212.127,False,False,433636,"Baseball card, print",Commercial color lithograph,Drawings and Prints,,1910,1910,,
124,63.350.246.204.83,False,False,434286,"Baseball card, print",Photolithograph,Drawings and Prints,,1909,1909,,
125,13.190.4,False,True,446304,Fragment,Earthenware; incised decoration through a white slip and coloring under a transparent glaze.,Islamic Art,,1300,1499,,Italian
126,26.238.2,False,True,447944,Fragment,Cotton; painted,Islamic Art,,1700,1799,,
127,37.40.43,False,False,449151,Dado panel,Plaster; cast,Islamic Art,,1900,1999,,
128,1974.294.4,False,True,452672,Folio from an illustrated manuscript,"Ink, opaque watercolor, and gold on paper",Islamic Art,,1500,1560,,
129,1975.1.420,False,True,459471,Drawing,"Black chalk, pen and brown ink, heightened with white.",Robert Lehman Collection,,1490,1499,Italian,
130,23.229.5-5,False,True,466522,Fragment,Colorless glass,Medieval Art,French,1200,1299,,
131,63.185.2,False,True,468605,Hilt,Copper alloy,Medieval Art,Byzantine,300,400,,"American, born Russia"
132,1982.433.1,False,True,469993,Panel,White and pot-metal glass with vitreous paint,The Cloisters,French,1250,1270,,Finnish
133,25.120.637,False,True,470842,Capital,Marble,The Cloisters,Catalan,1100,1150,,"British, Scottish"
134,32.24.27,False,True,471090,Roundel,"Colorless glass, silver stain, vitreous paint",The Cloisters,South Netherlandish,1510,1520,,Italian
135,1983.607.86,False,False,482952,Drawing,Graphite on paper,Modern and Contemporary Art,,1940,1940,"American, born Russia",Italian
136,1988.31.12,False,False,485091,Glass,Glass,Modern and Contemporary Art,,1950,1959,Finnish|Finnish,Mexican
137,1994.322,False,False,486390,Design,Watercolor and graphite on paper,Modern and Contemporary Art,,1904,1904,"British, Scottish",
138,1995.243,False,False,486599,Bowl,Glass,Modern and Contemporary Art,,1989,1989,Italian,
139,1995.243,False,False,486599,Bowl,Glass,Modern and Contemporary Art,,1989,1989,Italian,
140,49.70.207,False,False,488438,Drawing,"Ink, watercolor, metallic paint, and graphite on paper",Modern and Contemporary Art,,1910,1910,Mexican,
141,17.6.74,False,True,544812,"Figurine, female, fragmentary",Pottery,Egyptian Art,,-1981,-1981,,
142,09.184.699,False,False,545193,"Ostracon, hieratic","Limestone, ink, paint",Egyptian Art,,-1295,-1295,,
